25 27 47 56;0.5143,0.973,-20.626
25 27 29 56;0.5714,0.952,-20.443
1 27 29 30 56;0.5857,0.943,-19.508
25 29 30 56;0.5571,0.951,-19.268
15 25 29 56;0.4571,0.985,-19.201
15 25 27 56;0.4571,0.985,-19.201
25 27 34 56;0.4071,1.000,-19.066
6 14 54 55;0.1286,0.692,-18.882
27 29 30 56;0.6429,0.918,-18.828
25 30 47 56;0.5214,0.961,-18.736
25 27 56;0.5714,0.941,-18.324
27 30 56;0.6714,0.904,-18.099
14 54 55;0.1286,0.667,-17.897
6 12 54 55;0.1571,0.550,-17.699
15 17 27 29 56;0.5071,0.959,-17.697
25 29 56;0.5857,0.932,-17.519
15 25 30 56;0.4286,0.984,-17.302
23 29 30 47 56;0.5571,0.940,-17.206
1 27 29 47 56;0.5571,0.940,-17.206
25 47 56;0.5286,0.949,-17.095
6 11 12 24 55;0.1357,0.613,-16.985
15 25 56;0.4571,0.970,-16.597
6 12 24 55;0.1429,0.571,-16.371
6 11 24 55;0.1429,0.571,-16.371
27 29 47 56;0.6143,0.915,-16.240
6 24 55;0.1500,0.538,-15.972
29 30 47 56;0.6286,0.907,-15.741
15 23 29 56;0.4429,0.969,-15.686
1 27 29 56;0.6071,0.914,-15.652
15 27 29 56;0.5071,0.947,-15.602
19 23 27 29 56;0.5071,0.947,-15.602
25 30 56;0.5571,0.929,-15.333
23 27 47 56;0.5571,0.929,-15.333
47 53 56;0.4714,0.957,-15.293
6 12 55;0.2071,0.377,-15.243
23 29 30 56;0.5786,0.920,-15.150
27 29 39 56;0.5786,0.920,-15.150
23 25 56;0.5286,0.937,-15.146
15 17 27 56;0.5286,0.937,-15.146
12 54 55;0.1571,0.500,-15.139
1 30 53 56;0.4286,0.968,-14.809
26 55;0.0929,0.765,-14.766
30 47 56;0.6714,0.887,-14.739
1 25 53 56;0.3857,0.982,-14.686
19 23 27 56;0.5214,0.936,-14.664
1 27 47 56;0.5929,0.912,-14.536
25 53 56;0.4214,0.967,-14.382
27 47 56;0.6500,0.892,-14.349
1 23 27 56;0.5429,0.927,-14.332
23 29 47 56;0.5643,0.919,-14.116
29 30 56;0.6643,0.886,-14.068
23 27 29 56;0.5857,0.911,-14.006
23 27 56;0.6071,0.904,-14.003
15 23 56;0.4500,0.955,-13.969
34 53 56;0.3714,0.981,-13.869
27 29 56;0.6786,0.880,-13.868
30 53 56;0.4786,0.944,-13.768
15 17 29 56;0.5071,0.934,-13.736
1 29 47 56;0.5786,0.910,-13.494
6 14 55;0.1571,0.468,-13.466
11 12 24 55;0.1357,0.528,-13.431
15 27 56;0.5286,0.925,-13.386
12 24 55;0.1429,0.500,-13.151
11 24 55;0.1429,0.500,-13.151
1 39 53 56;0.4000,0.966,-13.147
6 11 54 55;0.1643,0.442,-12.999
24 55;0.1500,0.477,-12.996
1 53 56;0.4643,0.942,-12.912
1 27 56;0.6500,0.883,-12.825
6 54 55;0.1714,0.421,-12.678
1 23 29 56;0.5429,0.916,-12.678
15 29 47 56;0.4571,0.941,-12.498
25 56;0.5857,0.901,-12.449
27 56;0.7214,0.856,-12.353
15 29 56;0.5071,0.922,-12.058
23 29 34 52 56;0.2857,1.000,-12.049
13 29 56;0.3357,0.979,-11.933
39 53 56;0.4429,0.939,-11.696
29 47 56;0.6357,0.881,-11.696
15 30 56;0.5000,0.921,-11.639
15 47 56;0.4929,0.920,-11.230
11 54 55;0.1643,0.411,-11.167
15 17 56;0.5429,0.905,-11.167
54 55;0.1714,0.393,-10.947
53 56;0.5143,0.911,-10.947
11 12 55;0.1929,0.355,-10.929
12 55;0.2071,0.330,-10.866
13 56;0.3500,0.961,-10.508
19 23 29 56;0.5286,0.902,-10.332
14 55;0.1571,0.407,-10.192
30 56;0.7143,0.847,-10.159
6 19 28 55;0.0714,0.714,-10.108
1 29 56;0.6286,0.871,-9.841
15 56;0.5429,0.894,-9.784
23 29 56;0.6071,0.876,-9.720
23 34 47 52 56;0.2857,0.976,-9.454
17 23 47 56;0.4857,0.907,-9.399
23 47 56;0.5786,0.880,-9.252
19 28 55;0.0714,0.667,-9.172
1 47 56;0.6357,0.864,-9.063
6 28 39 55;0.0643,0.692,-8.680
9 17 19 29 56;0.3071,0.956,-8.483
6 28 55;0.0714,0.625,-8.354
17 19 29 56;0.5071,0.887,-7.927
33 55;0.0500,0.778,-7.892
28 39 55;0.0643,0.643,-7.818
17 49 55;0.0357,1.000,-7.805
28 55;0.0714,0.588,-7.632
47 56;0.7000,0.838,-7.622
23 34 52 56;0.2857,0.952,-7.545
19 29 56;0.5857,0.863,-7.306
29 34 39 52 56;0.2786,0.951,-7.242
9 17 29 56;0.3143,0.936,-7.175
6 11 22 55;0.0857,0.500,-7.088
29 34 39 56;0.4357,0.897,-7.063
29 39 56;0.6000,0.857,-6.972
1 17 21 23 56;0.3429,0.923,-6.946
29 34 52 56;0.3071,0.935,-6.881
17 21 23 56;0.3714,0.912,-6.814
6 22 55;0.0857,0.480,-6.594
9 29 56;0.3643,0.911,-6.527
29 56;0.7000,0.831,-6.473
1 21 23 56;0.3929,0.902,-6.470
1 23 56;0.5643,0.859,-6.263
44 55;0.0286,1.000,-6.189
49 55;0.0357,0.833,-6.189
19 20 23 38 39 55;0.0286,1.000,-6.189
17 19 23 56;0.4643,0.878,-6.050
23 34 56;0.4286,0.882,-5.686
21 23 56;0.4214,0.881,-5.420
17 23 56;0.5214,0.859,-5.405
11 22 55;0.0857,0.429,-5.313
6 11 55;0.2071,0.271,-5.006
22 55;0.0857,0.414,-4.943
17 21 56;0.4071,0.877,-4.913
23 52 56;0.3500,0.891,-4.891
34 39 52 56;0.2857,0.909,-4.805
1 34 52 56;0.2857,0.909,-4.805
20 23 38 39 55;0.0286,0.800,-4.752
19 20 38 39 55;0.0286,0.800,-4.752
19 23 38 39 55;0.0286,0.800,-4.752
6 19 20 23 38 55;0.0286,0.800,-4.752
34 52 56;0.3143,0.898,-4.701
17 23 38 39 55;0.0214,1.000,-4.601
6 17 23 30 38 55;0.0214,1.000,-4.601
6 19 23 30 38 55;0.0214,1.000,-4.601
23 56;0.6286,0.830,-4.505
1 52 56;0.3929,0.873,-4.436
18 39 56;0.1143,1.000,-4.271
1 34 56;0.4357,0.859,-4.116
7 56;0.1071,1.000,-3.986
6 55;0.2214,0.248,-3.986
52 56;0.4286,0.857,-3.894
11 16 19 55;0.0571,0.444,-3.875
