25 96;0.2041,0.446,-4648.807
27 52 56 97;0.3768,0.965,-3944.002
27 52 97;0.3809,0.963,-3890.465
43 51 96;0.1807,0.448,-3589.791
43 96;0.1807,0.448,-3589.299
27 56 97;0.3801,0.951,-3431.502
27 97;0.3843,0.949,-3393.227
23 52 56 97;0.5946,0.876,-3221.332
42 52 56 97;0.2777,0.978,-3011.309
42 52 97;0.2794,0.976,-2957.467
52 56 97;0.7418,0.814,-2907.557
23 52 97;0.6012,0.867,-2900.209
42 56 97;0.2798,0.969,-2744.355
42 97;0.2816,0.967,-2700.000
24 51 96;0.1070,0.548,-2475.420
55 96;0.0424,0.953,-2456.570
23 56 97;0.6016,0.854,-2332.807
52 97;0.7510,0.797,-2140.018
24 96;0.1279,0.456,-2065.367
23 97;0.6082,0.845,-2065.367
50 56 97;0.2921,0.898,-1217.852
51 96;0.2030,0.303,-1120.619
50 97;0.2948,0.891,-1120.619
31 56 97;0.1405,0.954,-1025.180
31 61 97;0.1401,0.953,-999.939
31 97;0.1414,0.952,-998.824
44 56 61 97;0.2250,0.903,-930.559
44 56 97;0.2275,0.902,-926.271
44 61 97;0.2289,0.900,-907.900
44 97;0.2314,0.898,-901.262
9 33 96;0.0593,0.476,-853.271
33 96;0.0593,0.476,-852.439
16 56 61 97;0.1217,0.949,-815.512
16 56 97;0.1232,0.947,-811.520
16 61 97;0.1228,0.945,-792.779
16 97;0.1244,0.944,-786.213
34 96;0.0571,0.450,-700.543
56 97;0.7518,0.775,-665.314
14 96;0.0679,0.414,-665.287
21 96;0.0297,0.547,-560.311
57 96;0.0120,0.867,-549.949
18 96;0.0129,0.747,-447.393
26 61 97;0.1210,0.899,-425.170
26 97;0.1223,0.898,-420.633
17 61 97;0.2686,0.844,-414.428
17 97;0.2719,0.842,-405.711
4 96;0.0193,0.549,-359.535
22 61 96;0.0086,0.736,-289.475
22 96;0.0088,0.727,-289.301
9 41 50 61 96;0.0223,0.472,-284.822
9 41 61 96;0.0223,0.471,-284.791
41 50 61 96;0.0223,0.471,-284.441
41 61 96;0.0223,0.471,-284.412
9 41 50 96;0.0224,0.471,-284.354
9 41 96;0.0224,0.471,-284.324
41 50 96;0.0224,0.471,-283.973
41 96;0.0224,0.470,-283.945
49 61 97;0.0840,0.883,-219.406
49 97;0.0845,0.881,-215.195
2 36 61 97;0.0760,0.888,-213.979
2 36 97;0.0761,0.887,-213.051
45 66 96;0.2044,0.259,-202.166
2 72 97;0.0275,0.961,-200.629
61 72 97;0.0317,0.946,-193.398
72 97;0.0320,0.945,-192.275
36 61 97;0.0989,0.865,-191.688
36 97;0.0991,0.864,-189.736
45 96;0.2169,0.254,-169.354
2 61 97;0.5379,0.784,-137.596
2 35 97;0.0524,0.883,-135.650
35 61 97;0.0545,0.879,-131.803
35 97;0.0546,0.879,-130.439
54 96;0.0030,0.833,-125.787
2 97;0.5419,0.782,-123.738
59 96;0.0033,0.731,-111.404
15 61 97;0.1794,0.813,-99.414
58 96;0.0061,0.512,-94.023
15 97;0.1811,0.811,-93.912
5 96;0.0114,0.390,-77.404
37 97;0.0270,0.886,-72.145
6 39 96;0.0039,0.428,-37.574
9 66 96;0.2187,0.244,-27.762
66 96;0.2188,0.244,-27.586
6 9 96;0.0188,0.292,-25.027
6 96;0.0188,0.292,-24.947
47 97;0.0084,0.883,-22.328
